Date,Open,High,Low,Close,Volume
2022-02-24,4470,4470,4370,4390,217523600
2022-02-23,4520,4520,4460,4480,160827800
2022-02-22,4440,4470,4420,4430,109060900
2022-02-21,4460,4490,4440,4490,133717300
2022-02-18,4400,4440,4370,4430,127058000
2022-02-17,4390,4410,4340,4400,118305100
2022-02-16,4470,4470,4410,4420,89636300
2022-02-15,4440,4450,4390,4430,96658500
2022-02-14,4450,4450,4380,4410,105260000
2022-02-11,4420,4450,4380,4450,103418200
2022-02-10,4500,4500,4450,4470,112521600
2022-02-09,4400,4500,4380,4450,149000100
2022-02-08,4450,4550,4400,4440,310878100
2022-02-07,4240,4410,4220,4400,468016600
2022-02-04,4170,4210,4150,4210,236602900
2022-02-03,4180,4180,4130,4130,157898800
2022-02-02,4120,4120,4060,4070,81546300
2022-01-31,4170,4170,4070,4070,78498500
2022-01-28,4170,4170,4090,4140,84812100
2022-01-27,4070,4140,4060,4140,80682900
2022-01-26,4030,4100,4030,4090,97589500
2022-01-25,4100,4110,4000,4070,185007800
2022-01-24,4140,4160,4100,4120,76709900
2022-01-21,4130,4170,4110,4170,84972500
2022-01-20,4130,4160,4110,4130,86394600
2022-01-19,4210,4210,4130,4130,109954700
2022-01-18,4240,4240,4140,4190,120275000
2022-01-17,4200,4210,4180,4210,102957100
2022-01-14,4190,4210,4160,4180,110213800
2022-01-13,4180,4190,4170,4190,103522400
2022-01-12,4170,4180,4130,4160,65907000
2022-01-11,4180,4180,4130,4150,99404900
2022-01-10,4190,4210,4180,4180,70722600
2022-01-07,4170,4200,4150,4190,101275000
2022-01-06,4240,4240,4140,4160,137280000
2022-01-05,4180,4230,4130,4210,174376400
2022-01-04,4200,4210,4160,4160,93950000
2022-01-03,4120,4190,4090,4180,90842500
2021-12-30,4080,4140,4060,4110,146989400
2021-12-29,4090,4100,4070,4080,27676500
2021-12-28,4090,4110,4070,4090,52952500
2021-12-27,4070,4110,4060,4060,65491200
2021-12-24,4100,4120,4050,4070,59795000
2021-12-23,4090,4110,4060,4100,72736800
2021-12-22,4100,4110,4050,4050,104738000
2021-12-21,4100,4120,4080,4080,109561800
2021-12-20,4070,4130,4060,4120,89198900
2021-12-17,4090,4140,4090,4110,153165400
2021-12-16,4220,4220,4120,4140,136646600
2021-12-15,4150,4230,4140,4200,124522800
2021-12-14,4150,4160,4130,4130,100110000
2021-12-13,4170,4200,4160,4160,86848900
2021-12-10,4130,4160,4130,4130,122999200
2021-12-09,4220,4220,4160,4190,90471500
2021-12-08,4250,4250,4170,4210,143230200
2021-12-07,4190,4230,4160,4230,182048000
2021-12-06,4200,4220,4110,4110,106610000
2021-12-03,4210,4220,4170,4170,93227100
2021-12-02,4060,4220,4060,4200,139281800
2021-12-01,4090,4180,4070,4080,163457900
2021-11-30,4150,4220,4090,4090,316653200
2021-11-29,4150,4190,4080,4170,164312800
2021-11-26,4190,4220,4150,4160,148652500
2021-11-25,4180,4250,4180,4220,123609400
2021-11-24,4200,4230,4190,4210,111072800
2021-11-23,4280,4280,4200,4210,104294200
2021-11-22,4310,4310,4250,4280,151514000
2021-11-19,4220,4290,4220,4280,182167700
2021-11-18,4150,4190,4140,4180,114881200
2021-11-17,4170,4200,4160,4200,126523700
2021-11-16,4120,4170,4120,4130,163555000
2021-11-15,4220,4220,4140,4160,220142300
2021-11-12,4270,4290,4210,4220,80234400
2021-11-11,4290,4300,4230,4250,149637700
2021-11-10,4230,4260,4210,4250,69475400
2021-11-09,4230,4250,4220,4250,92453200
2021-11-08,4250,4260,4220,4230,79465600
2021-11-05,4270,4270,4210,4240,74347000
2021-11-04,4330,4340,4250,4250,119591100
2021-11-03,4250,4300,4210,4290,100486300
2021-11-02,4270,4270,4210,4210,124799700
2021-11-01,4330,4330,4220,4230,102079300
2021-10-29,4300,4300,4220,4250,155011100
2021-10-28,4210,4300,4200,4240,159645200
2021-10-27,4330,4340,4260,4290,258038300
2021-10-26,4280,4370,4270,4350,108782400
2021-10-25,4330,4370,4300,4300,128240100
2021-10-22,4340,4400,4320,4400,160459300
2021-10-21,4450,4460,4320,4360,319230200
2021-10-19,4450,4450,4360,4400,161256300
2021-10-18,4350,4410,4340,4410,286829000
2021-10-15,4250,4330,4220,4320,318189600
2021-10-14,4280,4350,4230,4250,196989500
2021-10-13,4230,4300,4220,4280,264629400
2021-10-12,4180,4240,4180,4220,241196000
2021-10-11,4160,4200,4130,4180,146720100
2021-10-08,4190,4240,4130,4160,196631600
2021-10-07,4150,4170,4070,4120,264905400
2021-10-06,3920,4150,3920,4120,446708800
2021-10-05,3950,3980,3910,3930,236562700
2021-10-04,3900,4010,3890,3970,335762600
2021-10-01,3850,3920,3830,3900,359864700
2021-09-30,3760,3870,3750,3850,416099000
2021-09-29,3720,3750,3690,3740,143081800
2021-09-28,3770,3770,3690,3720,306827400
2021-09-27,3770,3800,3730,3750,380151200
2021-09-24,3790,3860,3770,3820,634549600
2021-09-23,3600,3770,3590,3770,432390800
2021-09-22,3520,3650,3520,3610,416087300
2021-09-21,3510,3580,3500,3570,410533900
2021-09-20,3590,3590,3510,3590,357971300
2021-09-17,3630,3640,3570,3610,346529100
2021-09-16,3650,3660,3610,3640,194782800
2021-09-15,3670,3670,3620,3660,263544000
2021-09-14,3720,3730,3660,3700,216363400
2021-09-13,3710,3750,3660,3700,169825000
2021-09-10,3710,3790,3670,3780,177033000
2021-09-09,3700,3770,3650,3730,306319600
2021-09-08,3820,3880,3720,3730,228087900
2021-09-07,3890,3920,3870,3910,127616300
2021-09-06,3950,3980,3850,3850,171751300
2021-09-03,3850,3930,3810,3930,150049100
2021-09-02,3860,3890,3840,3870,73855400
2021-09-01,3930,3930,3880,3890,88808900
2021-08-31,3940,3950,3870,3930,122615600
2021-08-30,3850,3940,3840,3940,116852400
2021-08-27,3890,3890,3830,3840,72270500
2021-08-26,3890,3900,3840,3870,62857400
2021-08-25,3850,3900,3850,3890,78700000
2021-08-24,3950,3960,3830,3890,137163100
2021-08-23,3980,3990,3930,3960,61938800
2021-08-20,3880,3940,3830,3930,80299100
2021-08-19,4000,4020,3860,3880,198373600
2021-08-18,3990,4090,3930,4070,224861000
2021-08-16,3870,3930,3840,3930,63711200
2021-08-13,3820,3880,3820,3870,95298300
2021-08-12,3850,3850,3800,3810,85874900
2021-08-10,3890,3890,3810,3820,85771200
2021-08-09,3940,3950,3820,3850,93093100
2021-08-06,4050,4060,3900,3930,138594800
2021-08-05,3900,4090,3900,4050,267404100
2021-08-04,3790,3850,3770,3850,83496200
2021-08-03,3740,3780,3720,3750,79873600
2021-08-02,3770,3770,3700,3740,96187100
2021-07-30,3830,3830,3710,3710,103301100
2021-07-29,3760,3840,3750,3770,93469200
2021-07-28,3800,3810,3720,3730,70705400
2021-07-27,3860,3860,3770,3800,90672700
2021-07-26,3900,3900,3820,3830,81996800
2021-07-23,3940,3950,3830,3870,87235100
2021-07-22,3870,3910,3840,3900,85309600
2021-07-21,3850,3880,3810,3820,100915300
2021-07-19,3850,3850,3780,3780,63023000
2021-07-16,3850,3860,3810,3840,98486200
2021-07-15,3750,3840,3730,3810,127139100
2021-07-14,3780,3800,3700,3710,105184100
2021-07-13,3800,3800,3760,3780,159709500
2021-07-12,3800,3820,3750,3760,119727200
2021-07-09,3860,3870,3780,3800,127826500
